baseline,arm,variable,level,lead,spread,spread_rms,crps,n_inits
aifs,weight,2m_temperature,,6,0.16586752,0.17684732,0.28167888,112
aifs,ic,2m_temperature,,6,0.22811875,0.27110086,0.40489602,112
aifs,weight+ic,2m_temperature,,6,0.29324342,0.32631648,0.39462085,112
aifs,weight,2m_temperature,,24,0.31985339,0.36318991,0.32920697,112
aifs,ic,2m_temperature,,24,0.1836329,0.24747141,0.39277034,112
aifs,weight+ic,2m_temperature,,24,0.38311019,0.4399341,0.35858832,112
aifs,weight,2m_temperature,,72,0.64956511,0.79355347,0.44545014,112
aifs,ic,2m_temperature,,72,0.29887167,0.48789,0.50981007,112
aifs,weight+ic,2m_temperature,,72,0.72879258,0.91400626,0.45760886,112
aifs,weight,2m_temperature,,120,1.0199811,1.2708322,0.58728508,112
aifs,ic,2m_temperature,,120,0.4961355,0.84177561,0.65505495,112
aifs,weight+ic,2m_temperature,,120,1.120122,1.4288516,0.60234585,112
aifs,weight,2m_temperature,,240,1.959832,2.4281673,0.93857404,112
aifs,ic,2m_temperature,,240,1.1005873,1.7324467,0.97911633,112
aifs,weight+ic,2m_temperature,,240,2.0272786,2.5211603,0.94770329,112
aifs,weight,mean_sea_level_pressure,,6,9.7228385,10.909116,15.989996,112
aifs,ic,mean_sea_level_pressure,,6,24.818749,28.492985,23.889226,112
aifs,weight+ic,mean_sea_level_pressure,,6,26.76613,30.377812,23.534099,112
aifs,weight,mean_sea_level_pressure,,24,31.766339,35.652078,29.402548,112
aifs,ic,mean_sea_level_pressure,,24,30.406696,39.497178,35.757581,112
aifs,weight+ic,mean_sea_level_pressure,,24,44.595145,52.771272,33.782246,112
aifs,weight,mean_sea_level_pressure,,72,99.202241,119.33737,62.799207,112
aifs,ic,mean_sea_level_pressure,,72,77.495736,117.49648,70.022453,112
aifs,weight+ic,mean_sea_level_pressure,,72,127.15606,163.21085,67.478301,112
aifs,weight,mean_sea_level_pressure,,120,194.1284,247.13737,116.57354,112
aifs,ic,mean_sea_level_pressure,,120,143.71582,219.83853,126.86122,112
aifs,weight+ic,mean_sea_level_pressure,,120,233.50994,306.3603,123.53926,112
aifs,weight,mean_sea_level_pressure,,240,451.94193,579.30144,247.96124,112
aifs,ic,mean_sea_level_pressure,,240,342.69529,487.63353,254.29437,112
